,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Top50
0,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,audio_features,2mnXxnrX5vCGolNkaFvVeM,spotify:track:2mnXxnrX5vCGolNkaFvVeM,https://api.spotify.com/v1/tracks/2mnXxnrX5vCGolNkaFvVeM,https://api.spotify.com/v1/audio-analysis/2mnXxnrX5vCGolNkaFvVeM,196800,4,1
1,0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,audio_features,0oBtwScT4B4BR5kZitNWd5,spotify:track:0oBtwScT4B4BR5kZitNWd5,https://api.spotify.com/v1/tracks/0oBtwScT4B4BR5kZitNWd5,https://api.spotify.com/v1/audio-analysis/0oBtwScT4B4BR5kZitNWd5,151325,4,1
2,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,audio_features,5ww2BF9slyYgNOk37BlC4u,spotify:track:5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,162638,4,1
3,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,audio_features,1zsPaEkglFvxjAhrM8yhpr,spotify:track:1zsPaEkglFvxjAhrM8yhpr,https://api.spotify.com/v1/tracks/1zsPaEkglFvxjAhrM8yhpr,https://api.spotify.com/v1/audio-analysis/1zsPaEkglFvxjAhrM8yhpr,196600,4,1
4,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,audio_features,2tTmW7RDtMQtBk7m2rYeSw,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,198938,4,1
5,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,audio_features,7iwJOi3hlMqZt6pj1sQOBj,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,https://api.spotify.com/v1/tracks/7iwJOi3hlMqZt6pj1sQOBj,https://api.spotify.com/v1/audio-analysis/7iwJOi3hlMqZt6pj1sQOBj,180673,4,1
6,0.822,0.851,11,-3.314,0,0.0422,0.333,0.00792,0.105,0.749,117.992,audio_features,1Y62KpDaP5MEL43ZcI6IaG,spotify:track:1Y62KpDaP5MEL43ZcI6IaG,https://api.spotify.com/v1/tracks/1Y62KpDaP5MEL43ZcI6IaG,https://api.spotify.com/v1/audio-analysis/1Y62KpDaP5MEL43ZcI6IaG,185085,4,1
7,0.757,0.738,8,-4.913,0,0.22,0.712,9.67e-06,0.198,0.753,120.091,audio_features,3vKYvbzB7801a5qd47pxkm,spotify:track:3vKYvbzB7801a5qd47pxkm,https://api.spotify.com/v1/tracks/3vKYvbzB7801a5qd47pxkm,https://api.spotify.com/v1/audio-analysis/3vKYvbzB7801a5qd47pxkm,199831,4,1
8,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,audio_features,53tfEupEzQRtVFOeZvk7xq,spotify:track:53tfEupEzQRtVFOeZvk7xq,https://api.spotify.com/v1/tracks/53tfEupEzQRtVFOeZvk7xq,https://api.spotify.com/v1/audio-analysis/53tfEupEzQRtVFOeZvk7xq,156788,4,1
9,0.793,0.62,3,-3.769,0,0.0462,0.309,0.0,0.121,0.917,111.979,audio_features,5S7FewmYYyLNdMOfeEcB6P,spotify:track:5S7FewmYYyLNdMOfeEcB6P,https://api.spotify.com/v1/tracks/5S7FewmYYyLNdMOfeEcB6P,https://api.spotify.com/v1/audio-analysis/5S7FewmYYyLNdMOfeEcB6P,127333,4,1
10,0.857,0.829,0,-0.484,1,0.0842,0.00112,0.015,0.255,0.208,106.993,audio_features,58cEG7FsVoipRiRKUMgOjo,spotify:track:58cEG7FsVoipRiRKUMgOjo,https://api.spotify.com/v1/tracks/58cEG7FsVoipRiRKUMgOjo,https://api.spotify.com/v1/audio-analysis/58cEG7FsVoipRiRKUMgOjo,190654,4,1
11,0.798,0.718,8,-6.237,0,0.0443,0.263,0.0,0.142,0.727,126.01,audio_features,4Rjq1TZbF0bDstOs6SiI6J,spotify:track:4Rjq1TZbF0bDstOs6SiI6J,https://api.spotify.com/v1/tracks/4Rjq1TZbF0bDstOs6SiI6J,https://api.spotify.com/v1/audio-analysis/4Rjq1TZbF0bDstOs6SiI6J,260952,4,1
12,0.788,0.814,9,-3.822,0,0.217,0.562,0.0,0.208,0.665,97.982,audio_features,17BqQS5Cj899fQR8e6gvk9,spotify:track:17BqQS5Cj899fQR8e6gvk9,https://api.spotify.com/v1/tracks/17BqQS5Cj899fQR8e6gvk9,https://api.spotify.com/v1/audio-analysis/17BqQS5Cj899fQR8e6gvk9,202098,4,1
13,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,audio_features,6TsVhM8qIkWN5cJVDIVbbz,spotify:track:6TsVhM8qIkWN5cJVDIVbbz,https://api.spotify.com/v1/tracks/6TsVhM8qIkWN5cJVDIVbbz,https://api.spotify.com/v1/audio-analysis/6TsVhM8qIkWN5cJVDIVbbz,229065,4,1
14,0.535,0.874,9,-2.248,0,0.137,0.371,0.0,0.192,0.323,140.006,audio_features,7MkylDYvKTSuWgrsBhHlsG,spotify:track:7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/tracks/7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/audio-analysis/7MkylDYvKTSuWgrsBhHlsG,227562,4,1
15,0.873,0.695,0,-4.207,0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,audio_features,6G12ZafqofSq7YtrMqUm76,spotify:track:6G12ZafqofSq7YtrMqUm76,https://api.spotify.com/v1/tracks/6G12ZafqofSq7YtrMqUm76,https://api.spotify.com/v1/audio-analysis/6G12ZafqofSq7YtrMqUm76,158805,4,1
16,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,audio_features,2CeKVsFFXG4QzA415QygGb,spotify:track:2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb,155960,4,1
17,0.739,0.682,9,-5.121,0,0.0972,0.417,3.95e-05,0.105,0.476,94.048,audio_features,0BJMkf1sQmY3TwcHapARZI,spotify:track:0BJMkf1sQmY3TwcHapARZI,https://api.spotify.com/v1/tracks/0BJMkf1sQmY3TwcHapARZI,https://api.spotify.com/v1/audio-analysis/0BJMkf1sQmY3TwcHapARZI,186723,4,1
18,0.771,0.707,2,-6.404,0,0.055,0.389,0.0,0.0745,0.317,127.963,audio_features,2hLXUbsOU9cDb9RFva9FYr,spotify:track:2hLXUbsOU9cDb9RFva9FYr,https://api.spotify.com/v1/tracks/2hLXUbsOU9cDb9RFva9FYr,https://api.spotify.com/v1/audio-analysis/2hLXUbsOU9cDb9RFva9FYr,228750,4,1
19,0.75,0.593,2,-5.736,1,0.176,0.372,0.000595,0.108,0.454,179.962,audio_features,0xCRFfgIHOsmovVZzrFCoT,spotify:track:0xCRFfgIHOsmovVZzrFCoT,https://api.spotify.com/v1/tracks/0xCRFfgIHOsmovVZzrFCoT,https://api.spotify.com/v1/audio-analysis/0xCRFfgIHOsmovVZzrFCoT,216000,4,1
20,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,1
21,0.662,0.828,9,-5.854,1,0.0821,0.148,0.0,0.423,0.451,113.039,audio_features,6WU2eYUtOL91iROonROPyh,spotify:track:6WU2eYUtOL91iROonROPyh,https://api.spotify.com/v1/tracks/6WU2eYUtOL91iROonROPyh,https://api.spotify.com/v1/audio-analysis/6WU2eYUtOL91iROonROPyh,191693,4,1
22,0.49,0.692,7,-4.291,1,0.274,0.336,0.0,0.659,0.484,102.16,audio_features,15wMJJiVpt2ABQw032Rywi,spotify:track:15wMJJiVpt2ABQw032Rywi,https://api.spotify.com/v1/tracks/15wMJJiVpt2ABQw032Rywi,https://api.spotify.com/v1/audio-analysis/15wMJJiVpt2ABQw032Rywi,148386,1,1
23,0.455,0.592,11,-7.069,0,0.227,0.45,1.03e-06,0.116,0.512,134.025,audio_features,3l9YiADzNmEvBfZVPEF49F,spotify:track:3l9YiADzNmEvBfZVPEF49F,https://api.spotify.com/v1/tracks/3l9YiADzNmEvBfZVPEF49F,https://api.spotify.com/v1/audio-analysis/3l9YiADzNmEvBfZVPEF49F,202968,4,1
